$ kubectl get events -n streamingapp --sort-by=.lastTimestamp

LAST SEEN   TYPE      REASON                         OBJECT                                                MESSAGE
15m         Normal    Pulled                         pod/streamingapp-mongodb-0                            Container image "mongo:6.0" already present on machine
15m         Normal    SuccessfullyReconciled         ingress/streamingapp                                  Successfully reconciled
15m         Normal    Created                        pod/streamingapp-mongodb-0                            Created container: mongodb
15m         Normal    Started                        pod/streamingapp-mongodb-0                            Started container mongodb
14m         Normal    Scheduled                      pod/streamingapp-streaming-c8c7f5875-xjxjm            Successfully assigned streamingapp/streamingapp-streaming-c8c7f5875-xjxjm to ip-10-42-105-109.ap-south-1.compute.internal
14m         Normal    ScalingReplicaSet              deployment/streamingapp-streaming                     Scaled up replica set streamingapp-streaming-c8c7f5875 from 1 to 2
14m         Normal    SuccessfulRescale              horizontalpodautoscaler/streamingapp-streaming        New size: 2; reason: Current number of replicas below Spec.MinReplicas
14m         Normal    Created                        pod/streamingapp-auth-69cd859dff-5v7qk                Created container: wait-for-mongo
14m         Normal    ScalingReplicaSet              deployment/streamingapp-auth                          Scaled up replica set streamingapp-auth-69cd859dff from 1 to 2
14m         Normal    SuccessfulCreate               replicaset/streamingapp-frontend-6dd9f44db9           Created pod: streamingapp-frontend-6dd9f44db9-jgt84
14m         Normal    SuccessfulRescale              horizontalpodautoscaler/streamingapp-auth             New size: 2; reason: Current number of replicas below Spec.MinReplicas
14m         Normal    Created                        pod/streamingapp-streaming-c8c7f5875-xjxjm            Created container: wait-for-mongo
14m         Normal    Scheduled                      pod/streamingapp-frontend-6dd9f44db9-jgt84            Successfully assigned streamingapp/streamingapp-frontend-6dd9f44db9-jgt84 to ip-10-42-134-198.ap-south-1.compute.internal
14m         Normal    Pulled                         pod/streamingapp-auth-69cd859dff-5v7qk                Container image "busybox:1.36" already present on machine
14m         Normal    Scheduled                      pod/streamingapp-auth-69cd859dff-5v7qk                Successfully assigned streamingapp/streamingapp-auth-69cd859dff-5v7qk to ip-10-42-134-198.ap-south-1.compute.internal
14m         Normal    Pulled                         pod/streamingapp-streaming-c8c7f5875-xjxjm            Container image "busybox:1.36" already present on machine
14m         Normal    SuccessfulRescale              horizontalpodautoscaler/streamingapp-frontend         New size: 2; reason: Current number of replicas below Spec.MinReplicas
14m         Normal    SuccessfulCreate               replicaset/streamingapp-auth-69cd859dff               Created pod: streamingapp-auth-69cd859dff-5v7qk
14m         Normal    Created                        pod/streamingapp-frontend-6dd9f44db9-jgt84            Created container: frontend
14m         Normal    Pulled                         pod/streamingapp-frontend-6dd9f44db9-jgt84            Container image "400398151988.dkr.ecr.ap-south-1.amazonaws.com/streamingapp/frontend:build-20260815075746" already present on machine
14m         Normal    SuccessfulCreate               replicaset/streamingapp-streaming-c8c7f5875           Created pod: streamingapp-streaming-c8c7f5875-xjxjm
14m         Normal    ScalingReplicaSet              deployment/streamingapp-frontend                      Scaled up replica set streamingapp-frontend-6dd9f44db9 from 1 to 2
14m         Normal    Started                        pod/streamingapp-frontend-6dd9f44db9-jgt84            Started container frontend
14m         Normal    Started                        pod/streamingapp-streaming-c8c7f5875-xjxjm            Started container wait-for-mongo
14m         Normal    Started                        pod/streamingapp-auth-69cd859dff-5v7qk                Started container wait-for-mongo
14m         Normal    Pulled                         pod/streamingapp-streaming-c8c7f5875-sn777            Container image "400398151988.dkr.ecr.ap-south-1.amazonaws.com/streamingapp/streaming-service:build-20260815075746" already present on machine
14m         Normal    Created                        pod/streamingapp-streaming-c8c7f5875-sn777            Created container: streaming
14m         Normal    Started                        pod/streamingapp-streaming-c8c7f5875-sn777            Started container streaming
14m         Normal    Created                        pod/streamingapp-auth-69cd859dff-hxl29                Created container: auth
14m         Normal    Pulled                         pod/streamingapp-auth-69cd859dff-hxl29                Container image "400398151988.dkr.ecr.ap-south-1.amazonaws.com/streamingapp/auth-service:build-20260815075746" already present on machine
14m         Normal    Pulling                        pod/streamingapp-admin-69db4448fd-8w6pf               Pulling image "400398151988.dkr.ecr.ap-south-1.amazonaws.com/streamingapp/admin-service:build-20260815075746"
14m         Normal    Pulling                        pod/streamingapp-auth-69cd859dff-5v7qk                Pulling image "400398151988.dkr.ecr.ap-south-1.amazonaws.com/streamingapp/auth-service:build-20260815075746"
14m         Normal    Pulled                         pod/streamingapp-streaming-c8c7f5875-xjxjm            Container image "400398151988.dkr.ecr.ap-south-1.amazonaws.com/streamingapp/streaming-service:build-20260815075746" already present on machine
14m         Normal    Created                        pod/streamingapp-streaming-c8c7f5875-xjxjm            Created container: streaming
14m         Normal    Pulling                        pod/streamingapp-chat-695db95ff8-sbjzx                Pulling image "400398151988.dkr.ecr.ap-south-1.amazonaws.com/streamingapp/chat-service:build-20260815075746"
14m         Normal    Started                        pod/streamingapp-auth-69cd859dff-hxl29                Started container auth
14m         Normal    Started                        pod/streamingapp-streaming-c8c7f5875-xjxjm            Started container streaming
14m         Normal    Created                        pod/streamingapp-auth-69cd859dff-5v7qk                Created container: auth
14m         Normal    Started                        pod/streamingapp-auth-69cd859dff-5v7qk                Started container auth
14m         Normal    Pulled                         pod/streamingapp-chat-695db95ff8-sbjzx                Successfully pulled image "400398151988.dkr.ecr.ap-south-1.amazonaws.com/streamingapp/chat-service:build-20260815075746" in 957ms (957ms including waiting). Image size: 51631470 bytes.
14m         Normal    Started                        pod/streamingapp-chat-695db95ff8-sbjzx                Started container chat
14m         Normal    Created                        pod/streamingapp-chat-695db95ff8-sbjzx                Created container: chat
14m         Normal    Pulled                         pod/streamingapp-auth-69cd859dff-5v7qk                Successfully pulled image "400398151988.dkr.ecr.ap-south-1.amazonaws.com/streamingapp/auth-service:build-20260815075746" in 1.165s (1.165s including waiting). Image size: 52261092 bytes.
14m         Normal    Pulled                         pod/streamingapp-admin-69db4448fd-8w6pf               Successfully pulled image "400398151988.dkr.ecr.ap-south-1.amazonaws.com/streamingapp/admin-service:build-20260815075746" in 2.416s (2.417s including waiting). Image size: 52515230 bytes.
14m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/streamingapp-auth             invalid metrics (2 invalid out of 2), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
14m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/streamingapp-streaming        failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
14m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/streamingapp-auth             failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
14m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/streamingapp-auth             failed to get memory utilization: unable to get metrics for resource memory: no metrics returned from resource metrics API
14m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/streamingapp-auth             invalid metrics (1 invalid out of 2), first error is: failed to get cpu resource metric value: failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
14m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/streamingapp-auth             failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
13m         Normal    Pulled                         pod/streamingapp-admin-69db4448fd-8w6pf               Container image "400398151988.dkr.ecr.ap-south-1.amazonaws.com/streamingapp/admin-service:build-20260815075746" already present on machine
13m         Normal    Created                        pod/streamingapp-admin-69db4448fd-8w6pf               Created container: admin
13m         Normal    Started                        pod/streamingapp-admin-69db4448fd-8w6pf               Started container admin
13m         Warning   BackOff                        pod/streamingapp-admin-69db4448fd-8w6pf               Back-off restarting failed container admin in pod streamingapp-admin-69db4448fd-8w6pf_streamingapp(c1669930-aa59-4d9e-bb4c-747abe6dc520)
13m         Normal    SuccessfullyReconciled         targetgroupbinding/k8s-streamin-streamin-036638f7f9   Successfully reconciled
13m         Warning   BackendNotFound                targetgroupbinding/k8s-streamin-streamin-036638f7f9   backend not found: Service "streamingapp-frontend" not found
13m         Normal    Killing                        pod/streamingapp-frontend-6dd9f44db9-kgkqp            Stopping container frontend
13m         Normal    Killing                        pod/streamingapp-auth-69cd859dff-5v7qk                Stopping container auth
13m         Normal    Killing                        pod/streamingapp-frontend-6dd9f44db9-jgt84            Stopping container frontend
13m         Normal    Killing                        pod/streamingapp-auth-69cd859dff-hxl29                Stopping container auth
13m         Warning   Unhealthy                      pod/streamingapp-mongodb-0                            Readiness probe failed:
13m         Normal    Killing                        pod/streamingapp-mongodb-0                            Stopping container mongodb
13m         Normal    Killing                        pod/streamingapp-chat-695db95ff8-sbjzx                Stopping container chat
13m         Normal    Killing                        pod/streamingapp-streaming-c8c7f5875-sn777            Stopping container streaming
13m         Normal    Killing                        pod/streamingapp-streaming-c8c7f5875-xjxjm            Stopping container streaming
12m         Normal    Scheduled                      pod/streamingapp-chat-67864db5c4-v4d9x                Successfully assigned streamingapp/streamingapp-chat-67864db5c4-v4d9x to ip-10-42-168-168.ap-south-1.compute.internal
12m         Normal    SuccessfulCreate               statefulset/streamingapp-mongodb                      create Pod streamingapp-mongodb-0 in StatefulSet streamingapp-mongodb successful
12m         Normal    SuccessfulCreate               replicaset/streamingapp-auth-68d7c9d98c               Created pod: streamingapp-auth-68d7c9d98c-hx74w
12m         Normal    ScalingReplicaSet              deployment/streamingapp-streaming                     Scaled up replica set streamingapp-streaming-5b546d5667 from 0 to 1
12m         Normal    NoPods                         poddisruptionbudget/streamingapp-streaming            No matching pods found
12m         Normal    Scheduled                      pod/streamingapp-admin-b48b87bc-l92n5                 Successfully assigned streamingapp/streamingapp-admin-b48b87bc-l92n5 to ip-10-42-105-109.ap-south-1.compute.internal
12m         Normal    SuccessfulCreate               replicaset/streamingapp-frontend-64b95c79f7           Created pod: streamingapp-frontend-64b95c79f7-ph8ln
12m         Normal    Scheduled                      pod/streamingapp-frontend-64b95c79f7-ph8ln            Successfully assigned streamingapp/streamingapp-frontend-64b95c79f7-ph8ln to ip-10-42-105-109.ap-south-1.compute.internal
12m         Normal    ScalingReplicaSet              deployment/streamingapp-chat                          Scaled up replica set streamingapp-chat-67864db5c4 from 0 to 1
12m         Normal    NoPods                         poddisruptionbudget/streamingapp-frontend             No matching pods found
12m         Normal    ScalingReplicaSet              deployment/streamingapp-frontend                      Scaled up replica set streamingapp-frontend-64b95c79f7 from 0 to 1
12m         Normal    SuccessfulCreate               replicaset/streamingapp-admin-b48b87bc                Created pod: streamingapp-admin-b48b87bc-l92n5
12m         Normal    ScalingReplicaSet              deployment/streamingapp-admin                         Scaled up replica set streamingapp-admin-b48b87bc from 0 to 1
12m         Normal    SuccessfulCreate               replicaset/streamingapp-streaming-5b546d5667          Created pod: streamingapp-streaming-5b546d5667-k7wjh
12m         Normal    SuccessfulCreate               replicaset/streamingapp-chat-67864db5c4               Created pod: streamingapp-chat-67864db5c4-v4d9x
12m         Normal    Scheduled                      pod/streamingapp-streaming-5b546d5667-k7wjh           Successfully assigned streamingapp/streamingapp-streaming-5b546d5667-k7wjh to ip-10-42-134-198.ap-south-1.compute.internal
12m         Normal    Scheduled                      pod/streamingapp-mongodb-0                            Successfully assigned streamingapp/streamingapp-mongodb-0 to ip-10-42-168-168.ap-south-1.compute.internal
12m         Normal    ScalingReplicaSet              deployment/streamingapp-auth                          Scaled up replica set streamingapp-auth-68d7c9d98c from 0 to 1
12m         Normal    NoPods                         poddisruptionbudget/streamingapp-auth                 No matching pods found
12m         Normal    Scheduled                      pod/streamingapp-auth-68d7c9d98c-hx74w                Successfully assigned streamingapp/streamingapp-auth-68d7c9d98c-hx74w to ip-10-42-168-168.ap-south-1.compute.internal
12m         Normal    Created                        pod/streamingapp-admin-b48b87bc-l92n5                 Created container: wait-for-mongo
12m         Normal    Pulled                         pod/streamingapp-admin-b48b87bc-l92n5                 Container image "busybox:1.36" already present on machine
12m         Normal    Pulling                        pod/streamingapp-frontend-64b95c79f7-ph8ln            Pulling image "400398151988.dkr.ecr.ap-south-1.amazonaws.com/streamingapp/frontend:build-20260815075746"
12m         Normal    Pulled                         pod/streamingapp-streaming-5b546d5667-k7wjh           Container image "busybox:1.36" already present on machine
12m         Warning   FailedMount                    pod/streamingapp-chat-67864db5c4-v4d9x                MountVolume.SetUp failed for volume "kube-api-access-9bbkw" : failed to sync configmap cache: timed out waiting for the condition
12m         Normal    Created                        pod/streamingapp-streaming-5b546d5667-k7wjh           Created container: wait-for-mongo
12m         Normal    Started                        pod/streamingapp-streaming-5b546d5667-k7wjh           Started container wait-for-mongo
12m         Warning   FailedMount                    pod/streamingapp-auth-68d7c9d98c-hx74w                MountVolume.SetUp failed for volume "kube-api-access-r5grd" : failed to sync configmap cache: timed out waiting for the condition
12m         Normal    Created                        pod/streamingapp-frontend-64b95c79f7-ph8ln            Created container: frontend
12m         Normal    Started                        pod/streamingapp-admin-b48b87bc-l92n5                 Started container wait-for-mongo
12m         Normal    Pulled                         pod/streamingapp-frontend-64b95c79f7-ph8ln            Successfully pulled image "400398151988.dkr.ecr.ap-south-1.amazonaws.com/streamingapp/frontend:build-20260815075746" in 1.251s (1.251s including waiting). Image size: 21476392 bytes.
12m         Normal    Started                        pod/streamingapp-frontend-64b95c79f7-ph8ln            Started container frontend
12m         Normal    Pulled                         pod/streamingapp-chat-67864db5c4-v4d9x                Container image "busybox:1.36" already present on machine
12m         Warning   FailedMount                    pod/streamingapp-mongodb-0                            MountVolume.SetUp failed for volume "kube-api-access-b8hvf" : failed to sync configmap cache: timed out waiting for the condition
12m         Normal    Created                        pod/streamingapp-chat-67864db5c4-v4d9x                Created container: wait-for-mongo
12m         Normal    Created                        pod/streamingapp-auth-68d7c9d98c-hx74w                Created container: wait-for-mongo
12m         Normal    Started                        pod/streamingapp-chat-67864db5c4-v4d9x                Started container wait-for-mongo
12m         Normal    SuccessfullyReconciled         ingress/streamingapp                                  Successfully reconciled
12m         Normal    Pulled                         pod/streamingapp-auth-68d7c9d98c-hx74w                Container image "busybox:1.36" already present on machine
12m         Normal    Started                        pod/streamingapp-auth-68d7c9d98c-hx74w                Started container wait-for-mongo
